seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,final_raw_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,final_raw_consistency_l1,final_solver_audit_status,solver_recovery_attempts,solver_recovery_successes,selected_poison_weight,stage3_requests,contribution_requests,payment_status,payment_contribution_source,payment_fallback_reason,payment_contribution_weights,payment_requests,paid_total,initial_coalition_ids,final_coalition_ids,coalition_rounds_executed,pruning_log
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[9, 19, 16]","[0.37783050244682936, 0.3661713185043505, 0.25599817904882005]","[0.3434672953765706, 0.3067509531919865, 0.3497817514314429]","[0.41670328808483553, 0.11560216614561065, 0.46769454576955377]","[0.4184047157328254, 0.11115867293769795, 0.4704366113294767]",20,5,False,max_rounds,0.05,2,17,0.025226067150815094,0.0018774229877938826,0.0018774229877938826,stage3_l_opt,l_opt_current_alpha,0.3822975740927516,0.3911845605085771,not_needed,0,0,0.0,15189,32754,ok,eval,,"[0.4184047157328254, 0.11115867293769795, 0.4704366113294767]",0,10.0,"[9, 19, 16]","[9, 19, 16]",1,"[{""coalition_ids"": [9, 19, 16], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
1,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.40741466747019306, 0.29890097394945797, 0.293684358580349]","[0.4077384868887406, 0.29875056536180167, 0.2935109477494577]","[0.4092569594102795, 0.29804479458687244, 0.292698246002848]",6,5,True,fixed_point_tolerance,0.5,5,0,0.014579331208975737,0.0018643053869406383,0.0018643053869406383,stage3_l_opt,l_opt_current_alpha,0.0006476388370951769,0.003684583880173009,not_needed,0,0,0.0,1338,6705,ok,eval,,"[0.4092569594102795, 0.29804479458687244, 0.292698246002848]",0,10.0,"[12, 3, 16]","[12, 3, 16]",1,"[{""coalition_ids"": [12, 3, 16], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""fixed_point_tolerance"", ""status"": ""stable""}]"
2,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[8, 10, 20]","[0.37078571947339173, 0.3098345361847824, 0.319379744341826]","[0.5533854706917235, 0.0182508134681591, 0.42836371584011745]","[0.5023951830990946, 0.014344811105022143, 0.48326000579588335]","[0.5058454249310489, 0.007834841263628036, 0.4863197338053232]",20,17,False,max_rounds,0.05,13,6,0.00018353695198486397,0.008319164936741194,0.008319164936741194,stage3_l_opt,l_opt_current_alpha,0.10979257991153177,0.11591203593041138,not_needed,0,0,0.0,14538,29982,ok,eval,,"[0.5058454249310488, 0.007834841263628035, 0.4863197338053231]",0,10.000000000000002,"[8, 10, 20]","[8, 10, 20]",1,"[{""coalition_ids"": [8, 10, 20], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
3,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[4, 1, 16]","[0.4115740775572319, 0.32587384365854005, 0.262552078784228]","[0.389098570351441, 0.19422262924690434, 0.41667880040165467]","[0.3909468391398575, 0.02739979217452298, 0.5816533686856195]","[0.3921226249726437, 0.021156250518220725, 0.5867211245091355]",20,8,False,max_rounds,0.05,4,15,0.003794371765468456,0.014777936041355133,0.014777936041355133,stage3_l_opt,l_opt_current_alpha,0.33364567414476265,0.34613275745736716,not_needed,5,5,0.0,6312,31794,ok,eval,,"[0.3921226249726437, 0.021156250518220725, 0.5867211245091355]",0,10.0,"[4, 1, 16]","[4, 1, 16]",1,"[{""coalition_ids"": [4, 1, 16], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
4,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[10, 8, 20]","[0.4262723871098569, 0.33062692807109606, 0.2431006848190471]","[0.04750065975383924, 0.9049989234472952, 0.047500416798865616]","[0.006702088116322292, 0.9593412484967749, 0.033956663386902786]","[3.614433638329061e-05, 0.9721169202348042, 0.02784693542881236]",20,3,False,max_rounds,0.05,3,16,0.002104821619511502,0.007445134222507477,0.007445134222507477,stage3_l_opt,l_opt_current_alpha,0.10868465009895956,0.13423599357501828,recovered_informative,20,20,0.0,21021,38820,ok,eval,,"[3.614433638329062e-05, 0.9721169202348044, 0.027846935428812367]",0,10.0,"[10, 8, 20]","[10, 8, 20]",1,"[{""coalition_ids"": [10, 8, 20], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""recovered_informative"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
5,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,1,"[20, 18]","[0.5139200467255628, 0.48607995327443726]","[0.5, 0.5]","[0.0734250197367915, 0.9265749802632085]","[0.06471940789468521, 0.9352805921053148]",20,0,False,max_rounds,0.05,0,19,0.016154373146065215,0.011828691698610783,0.011828691698610783,stage3_l_opt,l_opt_current_alpha,0.853149960526417,0.8705611842106296,not_needed,0,0,0.0,19386,75592,ok,eval,,"[0.06471940789468521, 0.9352805921053148]",0,10.0,"[20, 18, 3]","[20, 18]",2,"[{""coalition_ids"": [20, 18, 3], ""coalition_round"": 0, ""pruning_candidate_agent_id"": 3, ""pruning_candidate_contribution"": -8.11840097109471e-05, ""removed_agent_id"": 3, ""solver_audit_status"": ""recovered_informative"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""removed_negative_contributor""}, {""coalition_ids"": [20, 18], ""coalition_round"": 1, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
6,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[18, 19, 3]","[0.3493537306424939, 0.37236512971503266, 0.2782811396424733]","[0.5471498507218026, 0.2268469431417004, 0.22600320613649708]","[0.27644667325092537, 0.361410756850656, 0.3621425698984186]","[0.2752857210043456, 0.3619837654938667, 0.3627305135017877]",20,1,False,max_rounds,0.05,1,18,0.0021054256683335736,0.007810634250442187,0.007810634250442187,stage3_l_opt,l_opt_current_alpha,0.5414063549417543,0.5437282594349139,not_needed,3,3,0.0,13956,34932,ok,eval,,"[0.2752857210043456, 0.3619837654938667, 0.3627305135017877]",0,10.0,"[18, 19, 3]","[18, 19, 3]",1,"[{""coalition_ids"": [18, 19, 3], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
7,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,1,"[13, 9]","[0.4787701414821533, 0.5212298585178468]","[0.6793107991772811, 0.3206892008227189]","[0.6796609942198122, 0.3203390057801878]","[0.6833275451222574, 0.31667245487774265]",10,9,True,fixed_point_tolerance,0.5,9,0,0.0026833700345559874,0.0016044341027736664,0.0016044341027736664,stage3_l_opt,l_opt_current_alpha,0.0007003900850621747,0.008033491889952504,recovered_informative,9,9,0.0,8547,20693,ok,eval,,"[0.6833275451222574, 0.31667245487774265]",0,10.0,"[15, 13, 9]","[13, 9]",2,"[{""coalition_ids"": [15, 13, 9], ""coalition_round"": 0, ""pruning_candidate_agent_id"": 15, ""pruning_candidate_contribution"": -0.0011423975229263306, ""removed_agent_id"": 15, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""removed_negative_contributor""}, {""coalition_ids"": [13, 9], ""coalition_round"": 1, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""recovered_informative"", ""stage3a_stop_reason"": ""fixed_point_tolerance"", ""status"": ""stable""}]"
8,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[1, 18, 9]","[0.4665876591765998, 0.2816303085285814, 0.2517820322948189]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.008441337829030173, 0.09928869455435638, 0.8922699676166135]","[0.0018108889411872508, 0.09451227335478542, 0.9036768377040273]",2,0,False,audited_uninformative,0.5,0,1,0.0017346442926347233,0.0012262606372435887,0.0012262606372435887,stage3_l_opt,l_opt_current_alpha,1.1178732685665604,1.1406870087413878,audited_uninformative,2,1,0.0,2079,4764,ok,eval,,"[0.0018108889411872508, 0.09451227335478542, 0.9036768377040273]",0,10.0,"[1, 18, 9]","[1, 18, 9]",1,"[{""coalition_ids"": [1, 18, 9], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""audited_uninformative"", ""stage3a_stop_reason"": ""audited_uninformative"", ""status"": ""stable""}]"
9,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,1,"[16, 1]","[0.5309814878496641, 0.4690185121503359]","[0.37997888851605915, 0.6200211114839409]","[0.02091006221925882, 0.9790899377807412]","[0.011132716550264099, 0.9888672834497358]",20,2,False,max_rounds,0.05,1,18,0.014832505813466346,0.0001611802726984024,0.0001611802726984024,stage3_l_opt,l_opt_current_alpha,0.7181376525936005,0.73769234393159,not_needed,0,0,0.0,8235,6646,ok,eval,,"[0.011132716550264099, 0.9888672834497358]",0,10.0,"[16, 8, 1]","[16, 1]",2,"[{""coalition_ids"": [16, 8, 1], ""coalition_round"": 0, ""pruning_candidate_agent_id"": 8, ""pruning_candidate_contribution"": -0.0006760284304618835, ""removed_agent_id"": 8, ""solver_audit_status"": ""audited_uninformative"", ""stage3a_stop_reason"": ""audited_uninformative"", ""status"": ""removed_negative_contributor""}, {""coalition_ids"": [16, 1], ""coalition_round"": 1, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
10,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[18, 8, 14]","[0.3341963286946278, 0.32396449828209883, 0.3418391730232733]","[0.10750719249787041, 0.7653729273448937, 0.1271198801572359]","[0.006666666666666665, 0.9353744170307716, 0.05795891630256157]","[0.0, 0.9476609697592908, 0.05233903024070909]",20,7,False,max_rounds,0.05,4,15,0.007240925381789661,0.00520948941508929,0.00520948941508929,stage3_l_opt,l_opt_current_alpha,0.340002979371756,0.36457608482879433,recovered_informative,19,19,0.0,25182,31824,ok,eval,,"[0.0, 0.947660969759291, 0.05233903024070911]",0,10.0,"[18, 8, 14]","[18, 8, 14]",1,"[{""coalition_ids"": [18, 8, 14], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""recovered_informative"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
